addr,coin
0x945fb53f94066921e4150951c53e21e29b9622d8,95
0x6a80c5b68d4d058218eb26d33c454828aa4e3766,95
0x96c5debe8c754e3950fcda44f161806f6be083b2,95
0xa26841a9b6e5ced035465a3cd2f4f8cf4b731daf,95
0x9d1b69b57475e901540c1c763f90270b8fa82957,95
0x92f38bbce12d72dccdd1439bd721cc5cdc6628b1,95
0xa122a38f0b3867777415dca0032d1522ba30d161,95
0xa5efee1769b7fc354b6c89d07d2e8bae1fe925b6,95
0x7dcc65f5a8b48f080e48f5bced3cfcf94461124f,95
0x9a029bda0798aa835d5911f70ff50cd3d25358fc,95
0xa66babde2ad2426f769b850c28d54c6ab0826a78,95
0xae1084c2f013d7b066bde8f5ce64dd712ba69394,95
0xac9911044b67d1845dab972415ed2868a7e0c8ac,95
0x8ee6a3fbbe296c29407a8514b2508811d89fc5d4,95
0xa7a222de0bb33f28994f682eb77e800fa096d8c1,95
0xb01cb97bb47732aad39c2c488f06b4071e52ff05,95
0xb5a8138b29fc069f104ba134c6889dc4e8a1e141,95
0x999f096fdf631dc964c74f7282a39a45982d891d,95
0xbb00a64b3bf5780236ec8efb0496fa67b00fe939,95
0xb06bfd45deaba275982a80e280ab944d2b8681e2,95
0xb39bddd7be7344836c526f99dddcecce29098e47,95
0xb6d1bc51b741b5dfe4826fe9dd1c1aa0156b1bed,95
0xca0417b450c6336fd3e5f6f18a2cfffa3c5a641d,95
0xbd0efe75f84b71b70ee23120fa90cc9be5ba862d,95
0xc58006cc66e8ee62bf877b747ef615c0e89189e4,95
0xb948455ad793c9b551254e911b73397ae2cf1f62,95
0xa298544c262cfc0ae906689268579075b4b5fc57,95
0xb70005a87d7cbfdb3a808f070fe6de56e344dd9b,95
0xcfab7c2971587bd64bd0eaabd526c0f471f4ef79,95
0xd8179e7a56447f37077daa323440c9e9c2de7141,95
0xd137e02b9ec593500f283a4eb6cad0d68c2e37fa,95
0xabbd0ecf23d4de457b2a0e70c94d2231c38ecd90,95
0xc023cc0a9937275da3d03b647188207caecab64f,95
0xdc190a794ee608b4ee2a92083ae4a1bd60eb9ddf,95
0xd5e53a0237cbc36d4df0276735bf27d130c989d8,95
0xd4aee222ab226fec9248897207cfed17eef604ad,95
